Termine presente nella gerarchia;Sinonimo 1 (Nomenclatura binomia);Sinonimo 2;Sinonimo 3;Sinonimo 4;Sinonimo 5;Sinonimo 6;Sinonimo 7;Sinonimo 8;Sinonimo 9;Sinonimo 10;Sinonimo 11;Sinonimo 12;Sinonimo 13;Sinonimo 14;Sinonimo 15;Sinonimo 16
double cropping;dual cropping;;;;;;;;;;;;;;;
maize soybean rotation;corn soybean rotation;;;;;;;;;;;;;;;
maize soybean system;corn soybean system;;;;;;;;;;;;;;;
O;oxygen;;;;;;;;;;;;;;;
water use ;soil water use;;;;;;;;;;;;;;;
basal soil respiration;soil basal respiration;;;;;;;;;;;;;;;
N release;nitrogen N release;;;;;;;;;;;;;;;
grape yield;grapevine yield;;;;;;;;;;;;;;;
average yield;mean yield;;;;;;;;;;;;;;;
double cropping system;double crop system;;;;;;;;;;;;;;;
manure application;manure addition;;;;;;;;;;;;;;;
plant available N;plant available nitrogen;;;;;;;;;;;;;;;
plant part;plant organ;;;;;;;;;;;;;;;
barley;barley crop;;;;;;;;;;;;;;;
onion;onion crop;;;;;;;;;;;;;;;
grapevine growth;vine growth;;;;;;;;;;;;;;;
C sequestration potential;carbon sequestration potential;;;;;;;;;;;;;;;
early planting;ealry seeding;;;;;;;;;;;;;;;
Cd;cadmium;;;;;;;;;;;;;;;
alkaline soil;alkali soil;;;;;;;;;;;;;;;
water infiltration;soil water infiltration;;;;;;;;;;;;;;;
compact soil;compacted soil;;;;;;;;;;;;;;;
soil available P;soil available phosphorus;;;;;;;;;;;;;;;
rice wheat cropping system;rice wheat crop system;;;;;;;;;;;;;;;
conservation agriculture practice;conservation agricultural practice;ca practice;agricultural conservation practice;conservation management practice;conservation practice;;;;;;;;;;;
growth parameter;plant growth parameter;;;;;;;;;;;;;;;
aboveground part;plant shoot;;;;;;;;;;;;;;;
bioenergy crop;energy crop;;;;;;;;;;;;;;;
sugarcane;sugarcane crop;;;;;;;;;;;;;;;
broccoli;broccoli crop;;;;;;;;;;;;;;;
service crop;subsidiary crop;;;;;;;;;;;;;;;
agroecological practice;agro - ecological practice;;;;;;;;;;;;;;;
maize biomass;corn biomass;;;;;;;;;;;;;;;
P loss;phosphorus loss;phosphorus P loss;;;;;;;;;;;;;;
aboveground cover crop biomass;cover crop aboveground biomass;;;;;;;;;;;;;;;
crop management;cropping management;;;;;;;;;;;;;;;
sole crop;single crop;;;;;;;;;;;;;;;
total soil N;soil total N;;;;;;;;;;;;;;;
available soil N;soil available N;;;;;;;;;;;;;;;
cropping system;cultivation system;crop system;;;;;;;;;;;;;;
frost winterkill;frost dessication;frost kill;;;;;;;;;;;;;;
conservation tillage;conservation tillage practice;;;;;;;;;;;;;;;
soil NO3 N content;soil nitrate concentration;soil nitrate content;soil nitrate level;;;;;;;;;;;;;
rye residue;cereal rye residue;;;;;;;;;;;;;;;
N management;nitrogen management;;;;;;;;;;;;;;;
living mulch;live mulch;;;;;;;;;;;;;;;
CO2;carbon dioxide;;;;;;;;;;;;;;;
crop height;plant height;;;;;;;;;;;;;;;
runoff;surface runoff;;;;;;;;;;;;;;;
cover cropping system;cover crop system;;;;;;;;;;;;;;;
monoculture;sole cropping;single cropping;;;;;;;;;;;;;;
flood rice;paddy rice;wetland rice;;;;;;;;;;;;;;
ryegrass;rye grass;;;;;;;;;;;;;;;
radish cover crop;forage radish cover crop;;;;;;;;;;;;;;;
planting date;sowing date;;;;;;;;;;;;;;;
biochar;biochar amendment;;;;;;;;;;;;;;;
mineral-associated organic C (MAOC);MAOC;;;;;;;;;;;;;;;
particulate organic C (POC) ;POC;;;;;;;;;;;;;;;
mineral-associated organic matter (MAOM);MAOM;;;;;;;;;;;;;;;
particulate organic matter (POM) ;POM;;;;;;;;;;;;;;;
maize seedling;corn seedling;;;;;;;;;;;;;;;
crop residue removal;stover removal;;;;;;;;;;;;;;;
water infiltration;infiltration;;;;;;;;;;;;;;;
soil management;soil management practice;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
crop specie;plant specie;plant crop;plant species;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
sunn hemp;Crotalaria juncea;Crotalaria juncea L.;C. juncea;sun hemp;;;;;;;;;;;;
wheat;Triticum aestivum;Triticum aestivum L.;common wheat;T. aestivum;winter wheat;;;;;;;;;;;
cotton;Gossypium hirsutum;G. hirsutum;;;;;;;;;;;;;;
durum wheat;Triticum durum;T. durum;;;;;;;;;;;;;;
perennial ryegrass;Lolium perenne;L. perenne;Lolium perenne L.;;;;;;;;;;;;;
annual ryegrass;Lolium multiflorum;Italian ryegrass;L. multiflorum;Lolium multiflorum Lam.;Lolium multiflorum L.;Italian rye grass;;;;;;;;;;
