Livello gerarchico più alto;Livello 2;Livello 3;Livello 4;Livello 5;Livello 6;Livello 7;;;
soil process;soil respiration;autotrophic soil respiration;;;;;;;
soil process;priming effect;;;;;;;;
plant;legume plant;Fabaceae plant;bean;jack bean;;;;;
plant;legume plant;Fabaceae plant;bean;velvet bean;dwarf velvet bean;;;;
plant;legume plant;Fabaceae plant;bean;faba bean;;;;;
plant;legume plant;Fabaceae plant;bean;mung bean;;;;;
plant;legume plant;Fabaceae plant;bean;snap bean;;;;;
plant;legume plant;Fabaceae plant;bean;hyacinth bean;;;;;
plant;legume plant;Fabaceae plant;bean;cluster bean;;;;;
plant;legume plant;Fabaceae plant;bean;winged bean;;;;;
plant;legume plant;Fabaceae plant;bean;green bean;;;;;
plant;legume plant;Fabaceae plant;bean;black gram;;;;;
plant;legume plant;Fabaceae plant;soybean;soybean cultivar;;;;;
plant;legume plant;Fabaceae plant;soybean;;;;;;
plant;legume plant;Fabaceae plant;clover;crimson clover;;;;;
plant;legume plant;Fabaceae plant;clover;red clover;;;;;
plant;legume plant;Fabaceae plant;clover;white clover;;;;;
plant;legume plant;Fabaceae plant;clover;subterranean clover;;;;;
plant;legume plant;Fabaceae plant;clover;berseem clover;;;;;
plant;legume plant;Fabaceae plant;clover;persian clover;;;;;
plant;legume plant;Fabaceae plant;clover;sweet clover;yellow sweet clover;;;;
plant;legume plant;Fabaceae plant;clover;alsike clover;;;;;
plant;legume plant;Fabaceae plant;clover;kura clover;;;;;
plant;legume plant;Fabaceae plant;clover;strawberry clover;;;;;
plant;legume plant;Fabaceae plant;clover;arrowleaf clover;;;;;
plant;legume plant;Fabaceae plant;cowpea;;;;;;
plant;legume plant;Fabaceae plant;pea;spring pea;;;;;
plant;legume plant;Fabaceae plant;pea;pigeon pea;dwarf pigeon pea;;;;
plant;legume plant;Fabaceae plant;sunn hemp;;;;;;
plant;legume plant;Fabaceae plant;vetch;chinese milk vetch;;;;;
plant;legume plant;Fabaceae plant;vetch;common vetch;;;;;
plant;legume plant;Fabaceae plant;vetch;hairy vetch;;;;;
plant;legume plant;Fabaceae plant;vetch;white vetch;;;;;
plant;legume plant;Fabaceae plant;vetch;purple vetch;;;;;
plant;legume plant;Fabaceae plant;vetch;smooth vetch;;;;;
plant;legume plant;Fabaceae plant;lentil;black lentil;;;;;
plant;legume plant;Fabaceae plant;lupin;white lupin;;;;;
plant;legume plant;Fabaceae plant;lupin;blue lupin;;;;;
plant;legume plant;Fabaceae plant;chickpea;;;;;;
plant;legume plant;Fabaceae plant;alfalfa;;;;;;
plant;legume plant;Fabaceae plant;tropical kudzu;;;;;;
plant;legume plant;Fabaceae plant;chickling vetch;;;;;;
plant;legume plant;Fabaceae plant;black medic;;;;;;
plant;legume plant;Fabaceae plant;white melilot;;;;;;
plant;legume plant;Fabaceae plant;peanut;forage peanut;;;;;
plant;non-legume plant;Apiaceae plant;carrot;;;;;;
plant;non-legume plant;Asteraceae plant;lattuce;;;;;;
plant;non-legume plant;Asteraceae plant;sunflower;;;;;;
plant;non-legume plant;Asteraceae plant;chicory;;;;;;
plant;non-legume plant;Asteraceae plant;common ragweed;;;;;;
plant;non-legume plant;Brassicaceae plant;broccoli;;;;;;
plant;non-legume plant;Brassicaceae plant;cabbage;white cabbage;;;;;
plant;non-legume plant;Brassicaceae plant;cabbage;kale;;;;;
plant;non-legume plant;Brassicaceae plant;mustard;white mustard;;;;;
plant;non-legume plant;Brassicaceae plant;mustard;brown mustard;;;;;
plant;non-legume plant;Brassicaceae plant;radish;forage radish;oilseed radish;;;;
plant;non-legume plant;Brassicaceae plant;radish;wild radish;;;;;
plant;non-legume plant;Brassicaceae plant;radish;daikon radish;;;;;
plant;non-legume plant;Brassicaceae plant;rapeseed;;;;;;
plant;non-legume plant;Brassicaceae plant;forage turnip;;;;;;
plant;non-legume plant;Brassicaceae plant;turnip rape;;;;;;
plant;non-legume plant;Brassicaceae plant;chinese cabbage;;;;;;
plant;non-legume plant;Brassicaceae plant;winter camelina;;;;;;
plant;non-legume plant;Brassicaceae plant;field pennycress;;;;;;
plant;non-legume plant;Chenopodiaceae plant;sugar beet;;;;;;
plant;non-legume plant;Euphorbiaceae plant;cassava;;;;;;
plant;non-legume plant;Malvaceae plant;cotton;;;;;;
plant;non-legume plant;Malvaceae plant;okra;;;;;;
plant;non-legume plant;Poaceae plant;barley;;;;;;
plant;non-legume plant;Poaceae plant;maize;sweet maize;;;;;
plant;non-legume plant;Poaceae plant;millet;pearl millet;;;;;
plant;non-legume plant;Poaceae plant;millet;finger millet;;;;;
plant;non-legume plant;Poaceae plant;millet;japanese millet;;;;;
plant;non-legume plant;Poaceae plant;millet;foxtail millet;;;;;
plant;non-legume plant;Poaceae plant;oat;black oat;;;;;
plant;non-legume plant;Poaceae plant;oat;saia oat;;;;;
plant;non-legume plant;Poaceae plant;rice;basmati rice;;;;;
plant;non-legume plant;Poaceae plant;rye;;;;;;
plant;non-legume plant;Poaceae plant;ryegrass;annual ryegrass;westerwold ryegrass;;;;
plant;non-legume plant;Poaceae plant;ryegrass;perennial ryegrass;;;;;
plant;non-legume plant;Poaceae plant;sorghum;forage sorghum;sorghum sudangrass;;;;
plant;non-legume plant;Poaceae plant;sorghum;forage sorghum;sweet sorghum;;;;
plant;non-legume plant;Poaceae plant;sorghum;grain sorghum;sorghum sudangrass;;;;
plant;non-legume plant;Poaceae plant;wheat;durum wheat;;;;;
plant;non-legume plant;Poaceae plant;sugarcane;;;;;;
plant;non-legume plant;Poaceae plant;palisade grass;;;;;;
plant;non-legume plant;Poaceae plant;red fescue;;;;;;
plant;non-legume plant;Poaceae plant;congo grass;;;;;;
plant;non-legume plant;Poaceae plant;triticale;;;;;;
plant;non-legume plant;Poaceae plant;elephant grass;;;;;;
plant;non-legume plant;Polygonaceae plant;buckwheat;;;;;;
plant;non-legume plant;Solanaceae plant;potato;;;;;;
plant;non-legume plant;Solanaceae plant;tomato;cherry tomato;;;;;
plant;non-legume plant;Solanaceae plant;eggplant;;;;;;
plant;non-legume plant;Solanaceae plant;tobacco;flue cure tobacco;;;;;
plant;non-legume plant;Solanaceae plant;sweet pepper;;;;;;
plant;non-legume plant;Amaryllidaceae plant;onion;;;;;;
